Date,Open,High,Low,Close,Volume,AdjClose
2004-03-31,90.31,90.40,87.75,88.61,2261800,71.69
2004-03-30,90.90,91.18,88.93,89.70,2383600,72.57
2004-03-29,90.50,91.17,89.83,91.11,1443900,73.71
2004-03-26,90.60,91.20,89.65,90.05,2517300,72.85
2004-03-25,87.25,89.30,86.84,89.02,3634600,72.02
2004-03-24,86.84,87.88,85.10,86.20,3302000,69.74
2004-03-23,86.99,88.13,85.86,86.50,3384400,69.98
2004-03-22,86.62,86.95,84.62,86.64,4202300,70.09
2004-03-19,90.30,90.33,86.76,88.11,7702500,71.28
2004-03-18,92.30,92.85,88.49,89.00,4731300,72.00
2004-03-17,92.39,92.80,91.06,92.60,3911200,74.91
2004-03-16,90.61,92.85,89.67,90.76,5100400,73.43
2004-03-15,93.49,94.53,89.55,90.00,4379700,72.81
2004-03-12,93.30,95.50,92.50,94.75,4053200,76.65
2004-03-11,96.81,97.11,92.81,94.91,5823900,76.78
2004-03-10,98.45,99.27,98.15,98.59,1944000,79.76
2004-03-09,100.26,100.26,98.54,99.32,2299500,80.35
2004-03-08,100.90,101.65,100.31,100.65,1479900,81.43
2004-03-05,100.70,102.10,99.50,100.20,3544000,81.06
2004-03-04,99.05,100.60,97.80,100.20,3374700,81.06
2004-03-03,100.30,100.94,98.01,98.80,3933300,79.93
2004-03-02,100.88,101.52,99.76,101.34,2301600,81.98
2004-03-01,101.49,101.70,99.22,100.23,2342800,81.09
2004-02-27,102.00,102.05,99.86,100.26,2580600,81.11
2004-02-26,102.15,103.20,99.81,101.06,3472700,81.76
2004-02-25,101.02,101.08,98.50,100.20,5423000,81.06
2004-02-24,105.24,105.32,101.06,101.51,4163800,82.12
2004-02-23,105.20,106.49,104.64,105.24,1501700,85.14
2004-02-20,106.00,107.28,103.78,104.78,3058800,84.77
2004-02-19,104.95,106.90,104.64,106.90,2505900,86.48
2004-02-18,105.10,106.18,103.65,103.95,1930100,84.10
2004-02-17,103.00,105.24,102.76,104.51,2005900,84.55
2004-02-16,103.10,103.10,102.10,102.68,1023300,83.07
2004-02-13,105.05,105.31,102.24,102.82,2176200,83.18
2004-02-12,106.83,106.83,103.62,104.83,2533000,84.81
2004-02-11,105.99,106.98,105.12,105.97,1871400,85.73
2004-02-10,106.34,106.34,104.64,105.62,1903000,85.45
2004-02-09,103.91,105.85,103.62,105.55,2154400,85.39
2004-02-06,102.70,103.50,101.85,103.14,1891400,83.44
2004-02-05,101.70,103.73,101.42,101.85,1957000,82.40
2004-02-04,102.40,102.70,101.08,102.07,3010600,82.57
2004-02-03,103.22,103.49,102.07,103.15,3120200,83.45
2004-02-02,103.90,105.60,103.56,104.86,2207300,84.83
2004-01-30,103.81,105.20,102.75,102.95,2560300,83.29
2004-01-29,104.52,104.52,101.90,103.55,3930300,83.77
2004-01-28,106.75,107.40,105.25,106.24,4301700,85.95
2004-01-27,109.06,109.80,107.45,108.15,3711800,87.49
2004-01-26,110.50,110.66,106.63,107.55,3863600,87.01
2004-01-23,110.40,112.24,108.57,111.15,3632400,89.92
2004-01-22,109.20,110.48,107.77,109.70,3378200,88.75
2004-01-21,107.52,108.00,105.23,107.99,3188200,87.36
2004-01-20,109.55,109.75,106.60,107.10,3235700,86.64
2004-01-19,109.00,110.00,108.20,109.09,2505400,88.25
2004-01-16,107.00,109.48,107.00,108.62,5257500,87.87
2004-01-15,102.00,106.36,101.01,105.76,6318000,85.56
2004-01-14,98.10,102.70,97.50,102.70,5298500,83.08
2004-01-13,98.20,99.49,97.90,98.34,2698700,79.56
2004-01-12,98.24,98.99,96.39,97.62,3636000,78.97
2004-01-09,100.30,100.32,98.19,99.13,3185500,80.20
2004-01-08,99.79,100.23,99.25,99.55,3790000,80.54
2004-01-07,100.37,100.37,98.12,98.87,3354300,79.99
2004-01-06,100.91,100.94,99.15,99.95,2944500,80.86
2004-01-05,100.98,101.09,100.15,100.67,2574500,81.44
2004-01-02,100.08,101.17,99.70,101.08,1877100,81.77
2004-01-01,100.08,100.08,100.08,100.08,000,80.97
2003-12-31,100.08,100.08,100.08,100.08,000,80.97
2003-12-30,100.15,100.63,99.80,100.08,1190900,80.97
2003-12-29,99.82,100.09,99.43,99.79,1463800,80.73
2003-12-26,99.69,99.69,99.69,99.69,000,80.65
2003-12-25,99.69,99.69,99.69,99.69,000,80.65
2003-12-24,99.69,99.69,99.69,99.69,000,80.65
2003-12-23,100.21,100.44,99.10,99.69,1929900,80.65
2003-12-22,100.20,101.15,99.78,99.78,3119600,80.72
2003-12-19,99.90,101.50,99.61,101.50,7264300,82.11
2003-12-18,96.10,99.70,95.50,98.73,5664400,79.87
2003-12-17,96.34,96.60,95.36,96.10,2518400,77.75
2003-12-16,94.95,96.30,94.48,95.60,2339500,77.34
2003-12-15,96.40,97.00,95.35,95.70,2895400,77.42
2003-12-12,95.01,96.12,94.27,94.63,3100700,76.56
2003-12-11,93.01,94.30,92.79,94.20,2205200,76.21
2003-12-10,92.90,93.44,92.10,92.55,1930500,74.87
2003-12-09,94.20,94.55,93.22,93.47,1827500,75.62
2003-12-08,93.30,93.40,91.88,93.00,1681900,75.24
2003-12-05,94.00,95.39,93.35,94.49,1884600,76.44
2003-12-04,94.90,95.80,93.95,94.89,2810200,76.77
2003-12-03,93.75,95.48,93.13,95.47,3659600,77.24
2003-12-02,95.39,95.50,93.84,94.51,1974000,76.46
2003-12-01,94.50,95.30,94.10,95.10,2322300,76.94
2003-11-28,93.95,94.63,91.85,93.88,2468400,75.95
2003-11-27,93.20,94.08,92.45,93.61,1704800,75.73
2003-11-26,91.48,94.43,90.84,92.05,5019300,74.47
2003-11-25,91.85,92.95,90.87,91.00,3368600,73.62
2003-11-24,89.00,92.50,89.00,92.09,3410400,74.50
2003-11-21,88.50,89.60,88.00,89.12,3182100,72.10
2003-11-20,90.00,90.19,86.90,88.30,4775900,71.43
2003-11-19,88.12,89.45,86.80,89.06,4860100,72.05
2003-11-18,92.80,93.00,89.31,90.10,7394100,72.89
2003-11-17,93.15,93.72,90.69,91.42,3559000,73.96
2003-11-14,93.41,96.35,93.30,95.74,3799700,77.45
2003-11-13,96.20,96.78,94.31,95.25,2398300,77.06
2003-11-12,92.95,94.88,92.13,94.53,2814500,76.48
2003-11-11,93.40,94.50,93.26,94.20,2132500,76.21
2003-11-10,93.15,96.80,93.10,94.61,2767100,76.54
2003-11-07,94.40,96.00,94.26,94.79,4195000,76.69
